Chi è quell’uomo?,Who is that man?
Chi è quella ragazza?,Who is that girl?
Chi sono i tuoi amici?,Who are your friends?
Chi sono quelle ragazze?,Who are those girls?
Chi vuole venire al cinema con me?,Who wants to come to the cinema with me?
Chi viene a cena?,Who’s coming for dinner?
Con chi esci?,Who(m) are you going out with?
A chi scrivete?,Who(m) are you writing to?
Chi ha una penna?,Who’s got a pen? [i.e. has anyone got a pen?]
Chi non va in gita domani?,Who’s not going on the trip tomorrow?
Chi non inviti?,Who(m) aren’t you inviting?
Chi di loro parla italiano?,Which of them speaks Italian?
Chi è pronto?,Who is ready?
Chi è soddisfatto?,Who is satisfied?
Chi non è stanco?,Who isn’t tired?
Chi di voi (ragazze) è pronta?,Which of you (girls) is ready?
Chi di voi (Signori) è italiano?,Which of you (gentlemen) is Italian?
Cos’è quello?,What’s that?
Che cos’è quella luce?,What’s that light?
Cosa sono quei segni?,What are those marks?
Che sono quelle costruzioni?,What are those buildings?
Che succede?,What’s happening?
Che cosa volete?,What do you want?
Cosa studi?,What are you studying/do you study?
Cosa posso fare per Lei?,What can I do for you?
A che pensate?,What are you thinking about?
